frame,blit,drawSides,gBuffer,shading
162,2.112e-05,0.0112914,0.00147088,0.0004256
163,1.952e-05,0.0113726,0.0015008,0.000428
164,1.872e-05,0.0114741,0.00151392,0.0004256
165,1.792e-05,0.0115792,0.00152192,0.00042736
166,1.76e-05,0.0117203,0.00152144,0.00042736
167,1.696e-05,0.0118549,0.00155968,0.000428
168,1.68e-05,0.0119434,0.00158512,0.00042736
169,1.728e-05,0.0119387,0.00160608,0.00042832
170,1.648e-05,0.0117877,0.00162192,0.00041984
171,3.824e-05,0.0115613,0.00162544,0.00041616
172,3.808e-05,0.0113579,0.0016296,0.00042
173,3.824e-05,0.0112528,0.00164704,0.00041344
174,3.856e-05,0.0112474,0.00164752,0.00041552
175,3.84e-05,0.0112958,0.00164368,0.00041216
176,3.856e-05,0.0113157,0.00161024,0.0004136
177,3.856e-05,0.0114034,0.0015776,0.00041696
178,3.824e-05,0.01146,0.00151488,0.00041504
179,2.432e-05,0.0114866,0.0014832,0.00041536
180,2.32e-05,0.0114989,0.00145696,0.00042608
181,2.464e-05,0.0115222,0.0014528,0.00041984
182,2.352e-05,0.0114744,0.0014384,0.0004232
183,2.24e-05,0.0114422,0.00142944,0.00042496
184,3.856e-05,0.0113784,0.00143296,0.00041488
185,2.304e-05,0.011275,0.00144096,0.00042688
186,1.936e-05,0.0112072,0.00144592,0.00042672
187,1.856e-05,0.0111605,0.00146224,0.00042768
188,1.808e-05,0.0111738,0.00147024,0.00042704
189,1.824e-05,0.0111325,0.00148544,0.00042352
190,1.824e-05,0.011161,0.00150192,0.00042608
191,2.224e-05,0.0110646,0.00150688,0.00042544
192,1.84e-05,0.0110419,0.00151296,0.00042432
193,1.856e-05,0.011036,0.001508,0.00042416
194,2.128e-05,0.0110714,0.00151216,0.00042848
195,1.744e-05,0.0110731,0.0015224,0.00042624
196,1.856e-05,0.0109637,0.0015,0.00042112
197,2e-05,0.0109338,0.00150704,0.00042688
198,1.936e-05,0.0109122,0.00150192,0.0004272
199,1.904e-05,0.0108696,0.00150576,0.00042656
200,2.16e-05,0.0108466,0.00150064,0.00042544
201,3.936e-05,0.0108382,0.00151408,0.00041264
202,3.984e-05,0.0108123,0.0015144,0.00041184
203,3.456e-05,0.0107821,0.00152144,0.00041424
204,3.984e-05,0.0107589,0.0015168,0.00041696
205,3.984e-05,0.0107462,0.00151392,0.00041376
206,4.016e-05,0.0107347,0.001524,0.00041792
207,3.984e-05,0.0106901,0.00151504,0.00039728
208,4.064e-05,0.0106344,0.00151632,0.0004136
209,4e-05,0.0106078,0.00149104,0.00041568
210,4.016e-05,0.0105795,0.00150656,0.00041104
211,4.016e-05,0.0105317,0.00147952,0.0004152
212,4.032e-05,0.010511,0.00148464,0.0004168
213,4.016e-05,0.0104822,0.00149152,0.00041216
214,4.016e-05,0.0104563,0.00149216,0.000412
215,4.032e-05,0.0104104,0.00148464,0.00041296
216,2.24e-05,0.0103824,0.00147104,0.00042528
217,4.096e-05,0.0103469,0.001468,0.0004144
218,4.128e-05,0.0103405,0.00150672,0.000404
219,4.256e-05,0.0103314,0.00151904,0.00041072
220,4.256e-05,0.0103283,0.00149984,0.00040656
221,4.16e-05,0.0103446,0.00151392,0.00041264
222,4.032e-05,0.0103618,0.00150464,0.00041536
223,3.872e-05,0.0103843,0.00149296,0.000416
224,3.648e-05,0.0104109,0.00149488,0.00041776
225,3.424e-05,0.010443,0.00148688,0.00041696
226,3.328e-05,0.0104715,0.00150832,0.00042192
227,3.312e-05,0.0105218,0.00149408,0.00041488
228,3.376e-05,0.0105619,0.00148128,0.00041872
229,3.28e-05,0.0106077,0.00148208,0.00041776
230,3.152e-05,0.0106506,0.00147328,0.00042144
231,3.104e-05,0.0107102,0.00147648,0.00041568
232,3.088e-05,0.0107579,0.00145296,0.0004176
233,3.12e-05,0.0108286,0.00143792,0.00041952
234,3.184e-05,0.0108682,0.00143296,0.00042368
235,3.28e-05,0.011021,0.00144304,0.00041872
236,1.824e-05,0.0110603,0.00142544,0.00042352
237,3.328e-05,0.0109195,0.0014288,0.00041888
238,2.128e-05,0.0106997,0.0014424,0.0004232
239,1.904e-05,0.0106822,0.0014496,0.00042512
240,2.176e-05,0.0107541,0.00148336,0.00042592
241,2.16e-05,0.0108187,0.00148752,0.00042304
242,3.552e-05,0.010856,0.00147936,0.0004168
243,2.08e-05,0.0108894,0.0014808,0.00042272
244,3.664e-05,0.0108875,0.00147072,0.00041472
245,3.84e-05,0.0108515,0.00148096,0.00041888
246,1.856e-05,0.0108093,0.00149664,0.00042448
247,2.048e-05,0.010804,0.00149088,0.00042448
248,1.776e-05,0.0106098,0.0014936,0.00042688
249,1.68e-05,0.0104939,0.00151168,0.00042624
250,1.984e-05,0.0104792,0.00150112,0.000428
251,4.416e-05,0.0104778,0.001508,0.00040736
252,4.4e-05,0.0104979,0.00151808,0.00041216
253,4.368e-05,0.0105179,0.00151344,0.00041216
254,4.368e-05,0.0105283,0.00148992,0.00041504
255,4.32e-05,0.0105602,0.00145504,0.00041488
256,4.288e-05,0.0106093,0.00143008,0.00040864
257,4.24e-05,0.0106544,0.00141264,0.00041472
258,4.128e-05,0.0107499,0.00142656,0.00041088
259,4.112e-05,0.0108733,0.00142064,0.00041472
260,4.048e-05,0.0109835,0.0014432,0.00041408
