frame,blit,drawSides,gBuffer,shading
188,1.856e-05,0.0138368,0.00145056,0.00042128
189,1.872e-05,0.0137973,0.00146576,0.0004216
190,1.856e-05,0.0138237,0.0014472,0.00042352
191,2.224e-05,0.0137277,0.00145968,0.00042368
192,1.856e-05,0.0137312,0.00148224,0.00042112
193,1.872e-05,0.0137187,0.00147808,0.0004208
194,2.16e-05,0.0137315,0.0014984,0.0004176
195,1.776e-05,0.0137288,0.00149776,0.00042464
196,1.776e-05,0.0136192,0.00148528,0.00041808
197,1.984e-05,0.0135904,0.00148816,0.0004248
198,1.936e-05,0.0135648,0.00149008,0.00042496
199,1.92e-05,0.0135341,0.00148816,0.00042256
200,2.128e-05,0.0135104,0.00148128,0.00042256
201,3.936e-05,0.0134934,0.0014904,0.00040976
202,3.968e-05,0.0134651,0.00149744,0.00041392
203,3.472e-05,0.013443,0.00149696,0.00041536
204,3.984e-05,0.0134317,0.00150144,0.000408
205,3.984e-05,0.0134179,0.00149632,0.00040864
206,4.016e-05,0.0134142,0.00150064,0.00041056
207,4.016e-05,0.013375,0.00150032,0.0004088
208,4.032e-05,0.0133242,0.00150416,0.0004112
209,4e-05,0.0133014,0.0014976,0.00040848
210,4.016e-05,0.0132818,0.00149136,0.00041296
211,4.016e-05,0.0132565,0.00146432,0.0004104
212,4.032e-05,0.0132365,0.00147344,0.00041296
213,4.048e-05,0.0132174,0.00147616,0.00041104
214,4.016e-05,0.0132056,0.00148384,0.0004136
215,4.064e-05,0.0131662,0.0014656,0.00040608
216,2.272e-05,0.0131496,0.001456,0.0004224
217,4.096e-05,0.013121,0.00145856,0.00041024
218,4.144e-05,0.0131136,0.00148784,0.00041136
219,4.24e-05,0.0131016,0.00150096,0.00041168
220,4.224e-05,0.0131006,0.00150064,0.0004096
221,4.16e-05,0.0131107,0.00148688,0.00041024
222,4.048e-05,0.0131229,0.00148896,0.0004112
223,3.888e-05,0.0131379,0.00148304,0.00041168
224,3.664e-05,0.0131587,0.00147952,0.00041232
225,3.424e-05,0.0131914,0.00149024,0.00041456
226,3.344e-05,0.0132179,0.0014896,0.00041536
227,3.312e-05,0.013263,0.00148192,0.000416
228,3.376e-05,0.0133056,0.00146576,0.00041584
229,3.28e-05,0.0133509,0.00146624,0.00041552
230,3.184e-05,0.0133923,0.00145776,0.00041568
231,3.12e-05,0.0134488,0.00145616,0.00041744
232,3.104e-05,0.0134987,0.00144144,0.00041632
233,3.104e-05,0.0135664,0.0014288,0.00041392
234,3.184e-05,0.0136499,0.00142096,0.0004144
235,3.264e-05,0.0137453,0.00141952,0.00041472
236,1.824e-05,0.0137909,0.00141056,0.0004264
237,3.28e-05,0.0136442,0.00140016,0.00041552
238,2.112e-05,0.013435,0.001424,0.00042112
239,1.888e-05,0.0134134,0.00143392,0.00042176
240,2.16e-05,0.0134979,0.00146576,0.00042096
241,2.176e-05,0.0135506,0.00146528,0.00042592
242,3.584e-05,0.0135914,0.00146768,0.000412
243,2.08e-05,0.0136294,0.00147056,0.00042096
244,3.68e-05,0.0136197,0.00145344,0.00041184
245,3.872e-05,0.0135973,0.00146848,0.0004104
246,1.904e-05,0.013556,0.00147776,0.00042432
247,2.048e-05,0.0135067,0.00147136,0.00041904
248,1.76e-05,0.0133688,0.00147216,0.00042208
249,1.728e-05,0.013251,0.00148704,0.00042368
250,1.952e-05,0.0132526,0.00148176,0.00042352
251,4.416e-05,0.0132424,0.00148528,0.00040896
252,4.368e-05,0.0132637,0.0015008,0.00040928
253,4.336e-05,0.0132691,0.00149984,0.00040944
254,4.336e-05,0.0132688,0.00147392,0.00040848
255,4.336e-05,0.0132782,0.0014344,0.00040528
256,4.256e-05,0.013291,0.00141376,0.0004088
257,4.208e-05,0.0133307,0.00139248,0.000408
258,4.16e-05,0.0133875,0.00139328,0.00041008
259,4.144e-05,0.0134574,0.001408,0.00040912
260,4.096e-05,0.01356,0.00142352,0.00040976
261,4.064e-05,0.0136138,0.00142592,0.00041104
262,4.048e-05,0.0136888,0.00142112,0.00040896
263,3.968e-05,0.0137181,0.00140752,0.00040912
264,3.92e-05,0.0137938,0.00140672,0.00041344
265,3.84e-05,0.0138246,0.00140608,0.00041008
266,3.792e-05,0.0139206,0.00141344,0.00041168
267,3.84e-05,0.0139587,0.001412,0.00041136
268,3.808e-05,0.013988,0.00140352,0.00041424
269,3.776e-05,0.0140258,0.00140384,0.00040912
270,3.808e-05,0.0141019,0.00139744,0.00041104
271,3.792e-05,0.0141136,0.00138816,0.00041104
272,3.728e-05,0.014167,0.00137312,0.0004104
273,3.68e-05,0.0141886,0.00135104,0.00041024
274,3.584e-05,0.0142683,0.00135712,0.000412
275,3.552e-05,0.0142747,0.00134288,0.00041152
276,3.44e-05,0.0142957,0.00134608,0.00041328
277,3.344e-05,0.014333,0.00135552,0.0004176
278,3.248e-05,0.0143818,0.001368,0.0004128
279,3.216e-05,0.0144622,0.0013648,0.00041568
280,3.184e-05,0.0145182,0.00134976,0.00041696
281,3.04e-05,0.0146162,0.00135344,0.00041728
282,3.008e-05,0.014715,0.00135072,0.00041312
283,2.912e-05,0.014767,0.00136064,0.00041568
284,2.976e-05,0.0148685,0.00135952,0.00041408
285,2.992e-05,0.0149938,0.0013616,0.00041392
286,2.96e-05,0.0150661,0.0013528,0.00041376
287,2.896e-05,0.0151491,0.00134672,0.00040512
288,2.864e-05,0.0151317,0.0013648,0.0004144
289,2.8e-05,0.015196,0.00136624,0.00041584
290,1.824e-05,0.0152283,0.00136064,0.00042304
291,2.192e-05,0.0152261,0.00135616,0.00042016
292,2.432e-05,0.015175,0.0013648,0.00042128
293,2.144e-05,0.0152499,0.00136832,0.0004192
