frame,blit,drawSides,gBuffer,shading
206,4.016e-05,0.01328,0.00152192,0.00041616
207,3.984e-05,0.0132366,0.00151808,0.00041088
208,4e-05,0.0131834,0.00151536,0.00041632
209,4e-05,0.0131592,0.00151616,0.00041264
210,4.016e-05,0.013137,0.0015016,0.00041632
211,4.016e-05,0.0131075,0.00148432,0.00041392
212,4.048e-05,0.0130784,0.0014888,0.00041248
213,4.08e-05,0.0130584,0.00149232,0.00041424
214,4.032e-05,0.0130374,0.0015,0.00041328
215,4.032e-05,0.0129938,0.0014872,0.00041504
216,2.256e-05,0.0129763,0.001472,0.00042704
217,4.096e-05,0.0129434,0.00147248,0.00041616
218,4.16e-05,0.0129325,0.0015072,0.00041264
219,4.256e-05,0.0129218,0.00152048,0.00041296
220,4.24e-05,0.012916,0.0015224,0.00040752
221,4.144e-05,0.0129266,0.00151216,0.00041168
222,4.048e-05,0.0129371,0.00150432,0.00041264
223,3.888e-05,0.0129504,0.00149408,0.00041232
224,3.632e-05,0.0129723,0.0014912,0.0004184
225,3.424e-05,0.013001,0.0015032,0.00041616
226,3.312e-05,0.0130304,0.00151072,0.000416
227,3.296e-05,0.013072,0.001492,0.0004176
228,3.376e-05,0.0131163,0.00148304,0.00041712
229,3.312e-05,0.0131603,0.0014832,0.00041488
230,3.184e-05,0.0132018,0.0014744,0.00041744
231,3.088e-05,0.0132514,0.00147392,0.00041872
232,3.104e-05,0.013296,0.00145472,0.00041936
233,3.088e-05,0.0133674,0.00144112,0.00041648
234,3.184e-05,0.0134514,0.00143696,0.00041568
235,3.28e-05,0.0135382,0.00143856,0.00041568
236,1.824e-05,0.0135899,0.00142256,0.00042784
237,3.344e-05,0.0134606,0.0014272,0.00041584
238,2.16e-05,0.0132488,0.00144912,0.00042816
239,1.952e-05,0.0132326,0.001452,0.00042416
240,2.128e-05,0.0133118,0.00148464,0.00042608
241,2.128e-05,0.0133635,0.00148608,0.00042464
242,3.584e-05,0.0134109,0.00148016,0.00041856
243,2.128e-05,0.0134344,0.00148192,0.00042672
244,3.68e-05,0.0134376,0.00147008,0.00041632
245,3.824e-05,0.0134104,0.00148512,0.00041536
246,1.888e-05,0.0133664,0.00149424,0.00042816
247,2.08e-05,0.0133632,0.00149312,0.00042752
248,1.776e-05,0.0131768,0.00149616,0.00042864
249,1.696e-05,0.0130614,0.00151072,0.00042304
250,1.936e-05,0.0130541,0.00150816,0.00042512
251,4.416e-05,0.0130442,0.00150736,0.00040848
252,4.4e-05,0.0130667,0.00152048,0.00041616
253,4.368e-05,0.0130659,0.00151344,0.00041152
254,4.336e-05,0.0130634,0.00149184,0.00041328
255,4.368e-05,0.0130789,0.00145664,0.00041072
256,4.272e-05,0.0130782,0.00143616,0.00041728
257,4.192e-05,0.0131154,0.00141408,0.00041072
258,4.176e-05,0.0131894,0.00141872,0.00041376
259,4.144e-05,0.013257,0.00142864,0.00041232
260,4.112e-05,0.0133584,0.00144144,0.00041136
261,4.064e-05,0.013423,0.0014496,0.00041184
262,4.016e-05,0.0134856,0.0014448,0.00041776
263,4.016e-05,0.0135581,0.00143024,0.00041072
264,3.936e-05,0.0136043,0.0014288,0.0004144
265,3.856e-05,0.0136469,0.00143008,0.00041472
266,3.776e-05,0.0137136,0.00143056,0.0004136
267,3.824e-05,0.0137648,0.00142464,0.00041744
268,3.808e-05,0.0137965,0.0014192,0.00041328
269,3.792e-05,0.013827,0.0014168,0.0004112
